id,title,description,original_air_date,production_code,directed_by,written_by,season,number_in_season,number_in_series,us_viewers_in_millions,imdb_rating,tmdb_rating,tmdb_vote_count
319,'Tis the Fifteenth Season,"After spending all his money on an expensive gift for himself, and the family thinking he should be less of an egoist, Homer decides to change his ways.    ",2003-12-14,FABF02,Steven Dean Moore,Michael Price,15,7,320,11.3,7.0,6.4,20
320,"Marge vs. Singles, Seniors, Childless Couples and Teens, and Gays","A concert for babies ends in a riot, so the childless adults of Springfield gather to make the town less child-friendly.    ",2004-01-04,FABF03,Bob Anderson,Jon Vitti,15,8,321,12.0,6.6,5.8,17
321,"I, (Annoyed Grunt)-bot",Homer pretends to be a robot and competes in Robot Wars to win Bart's affection; Lisa has cat trouble.    ,2004-01-11,FABF04,Lauren MacMullan,Dan Greaney & Allen Glazier,15,9,322,16.3,7.3,6.9,18
322,Diatribe of a Mad Housewife,"Marge is inspired to write a novel, but the storyline of the book (a fat, mean husband, and a handsome, sweet neighbor) makes Homer jealous.    ",2004-01-25,FABF05,Mark Kirkland,Robin J. Stein,15,10,323,10.6,7.2,6.4,15
323,Margical History Tour,"Marge tells Lisa, Bart and Millhouse three history stories because the library doesn't have any.    ",2004-02-08,FABF06,Mike B. Anderson,Brian Kelley,15,11,324,8.9,7.1,5.9,14
324,Milhouse Doesn't Live Here Anymore,"Milhouse moves to Capitol City, and therefore Lisa and Bart become best friends.    ",2004-02-15,FABF07,Matthew Nastuk,Julie Chambers & David Chambers,15,12,325,9.4,7.2,6.6,14
325,Smart & Smarter,"When Maggie is revealed to have an IQ of 167, Lisa is no longer the genius of the family, causing a rivalry between the sisters.    ",2004-02-22,FABF09,Steven Dean Moore,Carolyn Omine,15,13,326,12.6,7.1,5.9,14
326,The Ziff Who Came to Dinner,Artie Ziff is discovered hiding out in the Simpsons' attic.    ,2004-03-14,FABF08,Nancy Kruse,Deb Lacusta & Dan Castellaneta,15,14,327,10.7,6.7,5.9,15
327,Co-Dependents' Day,Marge takes up heavy drinking to spend more time with Homer. Bart and Lisa confront a famous movie director about the drop in quality his films have taken.    ,2004-03-21,FABF10,Bob Anderson,Matt Warburton,15,15,328,11.2,6.7,5.6,15
328,The Wandering Juvie,"After playing a prank on the whole town, Bart is sentenced to six months of juvenile detention. There he meets Gina, who forces Bart to escape with her.    ",2004-03-28,FABF11,Lauren MacMullan,John Frink & Don Payne,15,16,329,10.5,7.0,6.0,17
329,My Big Fat Geek Wedding,Mrs. Krabapel falls for Comic Book Guy and they plan a Star Trek like wedding. Principal Skinner plans to prevent it.    ,2004-04-18,FABF12,Mark Kirkland,Kevin Curran,15,17,330,9.2,6.6,6.3,15
330,Catch 'Em If You Can,Homer and Marge try to have a vacation without the kids but Bart and Lisa follow them everywhere they go.    ,2004-04-25,FABF14,Matthew Nastuk,Ian Maxtone-Graham,15,18,331,9.3,7.1,6.1,16
331,Simple Simpson,Homer becomes a costumed vigilante who uses pies for weapons after witnessing Lisa get humiliated at a competition at the state fair.    ,2004-05-02,FABF15,Jim Reardon,Jon Vitti,15,19,332,9.5,7.3,6.6,17
332,The Way We Weren't,"Marge and Homer find out that they actually kissed each other at age 10 without knowing they were each other's first kisses, and tell the story about this.    ",2004-05-09,FABF13,Mike B. Anderson,J. Stewart Burns,15,20,333,6.6,7.2,6.8,17
333,Bart-Mangled Banner,An accidental photo showing Bart mooning the American flag makes the Simpsons the most hated family in town.    ,2004-05-16,FABF17,Steven Dean Moore,John Frink,15,21,334,8.7,6.3,5.8,14
334,Fraudcast News,"After Mr. Burns is erroneously reported as dead, he buys all of he media outlets in order to prevent them from writing scathing articles about him.    ",2004-05-23,FABF18,Bob Anderson,Don Payne,15,22,335,9.2,7.2,6.9,15
335,Treehouse of Horror XV,Ned gains the power to foresee people's deaths; Maggie is shrunk inside a vitamin capsule and swallowed; Eliza Simpson and her sidekick hunt down a murderer.    ,2004-11-07,FABF23,David Silverman,Bill Odenkirk,16,1,336,11.29,7.4,6.1,17
336,All's Fair in Oven War,"Homer buys Marge a new kitchen, and Marge likes cooking in the new kitchen so much she attends the Ovenfresh Bakeoff.    ",2004-11-14,FABF20,Mark Kirkland,Matt Selman,16,2,337,11.64,6.9,5.8,16
337,Sleeping with the Enemy,"Because she thinks her own children do not appreciate her anymore, Marge becomes a mother figure for Nelson.    ",2004-11-21,FABF19,Lauren MacMullan,Jon Vitti,16,3,338,9.95,7.1,6.2,16
338,She Used to Be My Girl,"Marge becomes jealous when Lisa begins idolizing her old high school friend, Chloe Talbot, a famous reporter.    ",2004-12-05,FABF22,Matthew Nastuk,Tim Long,16,4,339,10.81,6.5,5.4,16
339,Fat Man and Little Boy,"Bart begins designing T-shirt slogans, and his T-shirts become very popular among the citizens of Springfield.    ",2004-12-12,FABF21,Mike B. Anderson,Joel H. Cohen,16,5,340,10.31,7.0,5.7,14
340,Midnight Rx,"Homer goes to Canada with Apu and Ned to purchase Grampa's medication, but the three have problems getting home because the border guard thinks Apu is a terrorist.    ",2005-01-16,FABF16,Nancy Kruse,Marc Wilmore,16,6,341,8.11,7.1,5.9,15
341,Mommie Beerest,Homer gives Moe an enormous amount of money so he doesn't have to close down.    ,2005-01-30,GABF01,Mark Kirkland,Michael Price,16,7,342,9.97,6.8,5.6,14
342,Homer and Ned's Hail Mary Pass,A video of Homer dancing becomes so popular that all major sports players hires Homer to design celebration dances for them.    ,2005-02-06,GABF02,Steven Dean Moore,Tim Long,16,8,343,23.07,6.3,5.6,16
343,Pranksta Rap,"Bart went to a rap concert Marge told him not to go to. In order to avoid punishment from Marge, he makes Marge and Homer believe he has been kidnapped.    ",2005-02-13,GABF03,Mike B. Anderson,Matt Selman,16,9,344,8.01,6.6,6.1,15
344,There's Something About Marrying,A townsperson comes out of the closet when Springfield legalized same-sex marriages in a plot to bolster tourism; Homer uses the Internet to become a minister.    ,2005-02-20,GABF04,Nancy Kruse,J. Stewart Burns,16,10,345,10.39,6.9,6.4,16
345,On a Clear Day I Can't See My Sister,"After bullying her, Bart is restricted by court order to come too close to Lisa.    ",2005-03-06,GABF05,Bob Anderson,Jeff Westbrook,16,11,346,10.39,6.7,6.1,15
346,Goo Goo Gai Pan,"Selma decides to adopt a child, so the whole family goes to China.    ",2005-03-13,GABF06,Lance Kramer,Dana Gould,16,12,347,10.28,6.9,5.6,14
347,Mobile Homer,"After a garage-cleaning accident, Marge wants Homer to get life insurance. Instead, the family gets an RV.    ",2005-03-20,GABF07,Raymond S. Persi,Tim Long,16,13,348,8.49,6.8,5.7,15
348,The Seven-Beer Snitch,"Springfield builds an opera house, but since no-one attends it they convert it into a prison. Old and forgotten laws are used to fill the prison, and therefore Homer goes to jail for kicking a can five times in a row. In jail, Homer becomes a snitch    ",2005-04-03,GABF08,Matthew Nastuk,Bill Odenkirk,16,14,349,7.48,6.8,5.8,15
349,Future-Drama,Bart and Lisa see into the future where their lives have changed.    ,2005-04-17,GABF12,Mike B. Anderson,Matt Selman,16,15,350,8.31,7.3,6.3,14
350,Don't Fear the Roofer,"Homer meets a new friend, Ray the Roofer, but gets confined to a mental institution when his friends and family think he made him up.    ",2005-05-01,GABF10,Mark Kirkland,Kevin Curran,16,16,351,11.92,7.4,5.9,14
351,The Heartbroke Kid,"Bart starts living on food from the new candy machine in school only, but he becomes so overweight that he has to go to a fat camp.    ",2005-05-01,GABF11,Steven Dean Moore,Ian Maxtone-Graham,16,17,352,10.79,7.1,6.5,16
352,A Star Is Torn,"Lisa attends a singing competition for children, and Homer becomes her manager because of his skill to write songs that the crowd loves.    ",2005-05-08,GABF13,Nancy Kruse,Carolyn Omine,16,18,353,8.72,6.7,5.6,14
353,"Thank God, It's Doomsday","Homer hears about the Rapture, and by using numerology to calculate when the Rapture is coming he learns that it is only one week away.    ",2005-05-08,GABF14,Michael Marcantel,Don Payne,16,19,354,10.05,7.2,6.9,14
354,Home Away from Homer,"After Homer humiliates Ned Flanders, Ned, Rod, and Todd decides to leave Springfield and live in Humbleton, Pennsylvania.    ",2005-05-15,GABF15,Bob Anderson,Joel H. Cohen,16,20,355,8.17,7.1,6.1,15
355,"The Father, the Son, and the Holy Guest Star","Bart is expelled from Springfield Elementary, and Bart is therefore enrolled in St. Jerome's Catholic School.    ",2005-05-15,GABF09,Mike Frank Polcino,Matt Warburton,16,21,356,9.69,7.3,6.7,14
356,The Bonfire of the Manatees,"When Marge leaves Homer because he allowed an adult movie being shot in their house, she seeks self fulfillment in protecting manatees.    ",2005-09-11,GABF18,Mark Kirkland,Dan Greaney,17,1,357,11.10,6.2,5.9,17
357,The Girl Who Slept Too Little,A new cemetery right outside the window of Lisa's room makes Lisa suffer from many sleepless nights.    ,2005-09-18,GABF16,Raymond S. Persi,John Frink,17,2,358,9.79,6.8,6.6,16
358,Milhouse of Sand and Fog,"When Kirk and Luann van Houten plan to get back together, Milhouse realizes they are too interested in each other, so he and Bart try to break them up, only for the plan to backfire and cause Homer and Marge to break up yet again.    ",2005-09-25,GABF19,Steven Dean Moore,Patric M. Verrone,17,3,359,10.19,6.9,5.8,15
359,Treehouse of Horror XVI,An android son replaces Bart; Homer and friends are the quarry in Mr. Burns' hunting tournament; a witch turns townsfolk into their Halloween costumes.    ,2005-11-06,GABF17,David Silverman,Marc Wilmore,17,4,360,11.63,7.3,6.1,16
360,Marge's Son Poisoning,"Marge and Bart start spending more time together, and make a tradition of cycling to a tea house in a small village outside Springfield.    ",2005-11-13,GABF20,Mike B. Anderson,Daniel Chun,17,5,361,11.4,6.9,6.1,15
361,See Homer Run,"When a recall election puts Mayor Quimby's job up for grabs, Homer seizes the opportunity to win office and gain his daughter's love.    ",2005-11-20,GABF21,Nancy Kruse,Stephanie Gillis,17,6,362,10.3,6.8,6.1,15
362,The Last of the Red Hat Mamas,"Milhouse tutors Lisa in Italian, and Marge joins the Cheery Red Tomatoes, a group that plans to rob Mr. Burns of one million dollars worth of Fabergé eggs.    ",2005-11-27,GABF22,Matthew Nastuk,Joel H. Cohen,17,7,363,11.46,6.6,6.1,16
363,The Italian Bob,"The Simpsons become lost in Italy, finding their way to a small town that Sideshow Bob has become the mayor of.    ",2005-12-11,HABF02,Mark Kirkland,John Frink,17,8,364,10.39,7.1,6.4,18
364,Simpsons Christmas Stories,"Homer tells the tale of the first Christmas ever, while Grandpa pursues his decade-old feud with Santa.    ",2005-12-18,HABF01,Steven Dean Moore,Don Payne,17,9,365,9.8,6.8,6.7,15
365,Homer's Paternity Coot,"When a frozen mailman from the 60's is found in a Springfield glacier, doubts arise about whether Abe really is Homer's father.    ",2006-01-08,HABF03,Mike B. Anderson,Joel H. Cohen,17,10,366,10.1,6.6,6.2,13
366,We're on the Road to D'ohwhere,"When Homer is on his way to Vegas to meet up with his friends, he has to make a detour to take Bart to an education camp. Meanwhile, Marge has discovered a surprising source of income.    ",2006-01-29,HABF04,Nancy Kruse,Kevin Curran,17,11,367,9.04,6.9,6.4,14
367,My Fair Laddy,Bart and Lisa bet whether Lisa can turn Groundskeeper Willie into a proper gentleman.    ,2006-02-26,HABF05,Bob Anderson,Michael Price,17,12,368,9.51,6.5,5.8,16
368,The Seemingly Never-Ending Story,"In this story within a story within a story within a story, a cave-exploring expedition, an angry sheep and a lovestruck Moe become inextricably entwined.    ",2006-03-12,HABF06,Raymond S. Persi,Ian Maxtone-Graham,17,13,369,9.72,7.6,7.0,16
369,Bart Has Two Mommies,"Marge starts babysitting the Flanders boys, leading Homer to spend more time with Bart and Lisa. Bart gets kidnapped by a lonely movie chimpanzee.    ",2006-03-19,HABF07,Michael Marcantel,Dana Gould,17,14,370,8.75,7.0,6.3,16
370,"Homer Simpson, This Is Your Wife","As part of a new Fox show, the Simpsons participate in a wife-swap.    ",2006-03-26,HABF08,Matthew Nastuk,Ricky Gervais,17,15,371,10.09,6.5,5.4,18
371,Million Dollar Abie,"After blowing Springfield's chances for an NFL franchise, Grandpa goes to an assisted-suicide center, then becomes a bullfighter.    ",2006-04-02,HABF09,Steven Dean Moore,Tim Long,17,16,372,7.83,6.3,5.3,15
372,"Kiss Kiss, Bang Bangalore",Homer gets sent to India when the power plant is relocated there. Selma and Patty kidnap Richard Dean Anderson after he spurns their MacGyver fan club.    ,2006-04-09,HABF10,Mark Kirkland,Deb Lacusta & Dan Castellaneta,17,17,373,8.20,7.2,6.1,14
373,The Wettest Stories Ever Told,"While waiting for the dinner at the Frying Dutchman, the family starts telling three stories about ships: ""Journey on the Mayflower"", ""Mutiny on the Bounty"", and ""The Neptune Adventure"".    ",2006-04-23,HABF11,Mike B. Anderson,Jeff Westbrook,17,18,374,7.04,6.7,5.7,15
374,Girls Just Want to Have Sums,"Springfield Elementary is divided into two separate schools (one for boys, one for girls) following Principal Skinner's demotion. Concerned that the boys are receiving a higher standard of education, Lisa disguises herself as a boy.    ",2006-04-30,HABF12,Nancy Kruse,Matt Selman,17,19,375,8.7,7.1,6.2,15
375,Regarding Margie,"After hitting her head on a stool Marge suffers from amnesia. Slowly but surely memories are starting to come back, except memories about Homer.    ",2006-05-07,HABF13,Mike Frank Polcino,Marc Wilmore,17,20,376,8.50,6.7,6.4,14
376,The Monkey Suit,"After seeing a museum exhibit on evolution, in which creation is labeled a myth, an outraged Ned Flanders teams with Reverend Lovejoy to blackmail Principal Skinner into requiring creationism to be taught in classrooms, eventually at the expense of any mention of evolution. Lisa becomes outraged herself, and forms a student organization to teach evolution, leading to a creationism vs. evolution trial, a la Inherit the Wind.    ",2006-05-14,HABF14,Raymond S. Persi,J. Stewart Burns,17,21,377,8.3,7.1,6.5,16
377,Marge and Homer Turn a Couple Play,Marge and Homer try their luck at celebrity marriage counselling.    ,2006-05-21,HABF16,Bob Anderson,Joel H. Cohen,17,22,378,8.23,6.4,6.0,16
378,"The Mook, the Chef, the Wife and Her Homer","When Fat Tony has to take a time-out due to a whacking attempt, Homer and Bart take over the business.    ",2006-09-10,HABF15,Michael Marcantel,Bill Odenkirk,18,1,379,11.50,7.6,6.1,19
379,Jazzy and the Pussycats,Lisa becomes depressed when Bart becomes a better jazz musician than her. So she decides to set up an animal shelter in the Simpsons' attic.    ,2006-09-17,HABF18,Steven Dean Moore,Daniel Chun,18,2,380,8.94,6.7,5.8,15
380,"Please Homer, Don't Hammer 'Em","Marge begins her own carpentry business, but Homer becomes the face of the business because nobody will take a female carpenter seriously. And Bart uses Principal Skinner's peanut allergy to his advantage.    ",2006-09-24,HABF20,Mike B. Anderson & Ralph Sosa,Matt Warburton,18,3,381,9.72,6.8,5.6,13
381,Treehouse of Horror XVII,A meteorite turns Homer into a rampaging blob with a voracious appetite; Bart brings a Golem to life; an alien invasion hoax turns real.    ,2006-11-05,HABF17,David Silverman & Matthew Faughnan,Peter Gaffney,18,4,382,10.43,6.8,5.5,15
382,G.I. (Annoyed Grunt),"Homer is duped into signing up for the Army, and his hijinks after basic training ultimately results in a military occupation of Springfield.    ",2006-11-12,HABF21,Nancy Kruse,Daniel Chun,18,5,383,11.43,6.8,6.0,16
383,Moe'N'a Lisa,"Lisa helps Moe become a distinguished poet, but she turns on him when he takes all the credit for his newfound greatness.    ",2006-11-19,HABF19,Mark Kirkland,Matt Warburton,18,6,384,9.31,6.7,5.8,13
384,Ice Cream of Margie (with the Light Blue Hair),"Homer becomes an ice cream man after being fired from the plant, and Marge uses his leftover Popsicle sticks to create folk art figures.    ",2006-11-26,HABF22,Matthew Nastuk,Carolyn Omine,18,7,385,10.90,6.9,6.1,15
385,The Haw-Hawed Couple,"Bart and Nelson become best friends, but Bart surprisingly discovers that the fringe benefits aren't worth Nelson's neediness.    ",2006-12-10,JABF02,Chris Clements,Matt Selman,18,8,386,8.29,7.2,6.4,15
